Microservice,Test ID,Fonctionnalité,Scénario de Test,Type,Priorité,Préconditions,Données de Test,Étapes,Résultat Attendu,Statut,Commentaires
CATALOG,TC_CATALOG_014,Suppression,Supprimer produit existant,Positif,Haute,Un produit existe,Id valide,"1. DELETE produit | 2. Vérifier","Code HTTP 204 | GET retourne 404",À tester,Suppression
CATALOG,TC_CATALOG_015,Suppression,Supprimer produit inexistant,Négatif,Moyenne,Produit inexistant,Id inexistant,"1. DELETE inexistant | 2. Erreur","Code HTTP 404 | Non trouvé",À tester,Produit inexistant
CATALOG,TC_CATALOG_016,Suppression,Produit dans paniers actifs,Intégration,Haute,Produit dans 5 paniers,ProductId valide,"1. DELETE produit | 2. Vérifier propagation","Événement publié | Paniers notifiés",À tester,Impact paniers
CATALOG,TC_CATALOG_017,Gestion stock,Ajouter du stock,Positif,Haute,Stock actuel = 50,Quantity = +30,"1. POST +30 | 2. Vérifier","Stock = 80 | Événement levé",À tester,Ajout stock
CATALOG,TC_CATALOG_018,Gestion stock,Retirer du stock,Positif,Haute,Stock actuel = 50,Quantity = -20,"1. POST -20 | 2. Vérifier","Stock = 30 | Événement levé",À tester,Retrait stock
CATALOG,TC_CATALOG_019,Gestion stock,Retirer plus que disponible,Négatif,Haute,Stock = 10,Quantity = -50,"1. POST -50 | 2. Erreur","Code HTTP 400 | Stock insuffisant",À tester,Validation stock
CATALOG,TC_CATALOG_020,Gestion stock,Atteindre seuil réapprovisionnement,Positif,Moyenne,Stock=15 | Seuil=10,Quantity = -6,"1. Retrait | 2. Vérifier événement","Stock=9 | RestockEvent | OnReorder=true",À tester,Alerte réappro
CATALOG,TC_CATALOG_021,Gestion stock,Réapprovisionner rupture stock,Positif,Haute,Stock=0 | OnReorder=true,Quantity = +100,"1. Ajouter 100 | 2. Vérifier","Stock=100 | OnReorder=false",À tester,Réapprovisionnement
CATALOG,TC_CATALOG_022,Récupération,Récupérer produit par ID,Positif,Haute,Un produit existe,Id valide,"1. GET produit | 2. Vérifier","Code HTTP 200 | Toutes propriétés",À tester,Lecture produit
CATALOG,TC_CATALOG_023,Récupération,Récupérer produit inexistant,Négatif,Moyenne,Produit inexistant,Id inexistant,"1. GET inexistant | 2. Erreur","Code HTTP 404 | Non trouvé",À tester,Produit inexistant
CATALOG,TC_CATALOG_024,Liste,Récupérer tous les produits,Positif,Haute,3 produits existent,Aucune,"1. GET tous | 2. Vérifier","Code HTTP 200 | 3 produits",À tester,Liste complète
CATALOG,TC_CATALOG_025,Liste,Pagination,Positif,Moyenne,50 produits | PageSize=10,Page=1 Size=10,"1. GET paginé | 2. Vérifier","10 produits | Métadonnées pagination",À tester,Pagination
CATALOG,TC_CATALOG_026,Filtrage,Par type spécifique,Positif,Haute,Type Smartphones = 5 produits,TypeId valide,"1. GET par type | 2. Vérifier","5 produits | Bon TypeId",À tester,Filtrage type
CATALOG,TC_CATALOG_027,Filtrage,Type sans produits,Positif,Basse,Type vide,TypeId vide,"1. GET type vide | 2. Résultat","Liste vide []",À tester,Type vide
CATALOG,TC_CATALOG_028,Filtrage,Par marque spécifique,Positif,Haute,Brand Apple = 10 produits,BrandId valide,"1. GET par marque | 2. Vérifier","10 produits | Bon BrandId",À tester,Filtrage marque
CATALOG,TC_CATALOG_029,Filtrage,Marque inexistante,Négatif,Basse,Marque inexistante,BrandId inexistant,"1. GET marque invalide | 2. Résultat","Code HTTP 200 [] OU 404",À tester,Marque inexistante
CATALOG,TC_CATALOG_030,Recherche,Par nom (contient),Positif,Haute,5 produits avec ""iPhone"",SearchTerm=""iPhone""","1. GET search | 2. Vérifier","5 produits contenant ""iPhone""",À tester,Recherche textuelle
CATALOG,TC_CATALOG_031,Recherche,Terme vide,Positif,Basse,10 produits,SearchTerm vide,"1. GET search vide | 2. Résultat","Tous produits OU erreur",À tester,Recherche vide
CATALOG,TC_CATALOG_032,Recherche,Aucun résultat,Positif,Moyenne,Aucun match,SearchTerm inexistant,"1. GET search | 2. Résultat","Liste vide []",À tester,Pas de résultat
CATALOG,TC_CATALOG_033,Types catalogue,Récupérer tous types,Positif,Haute,3 types existent,Aucune,"1. GET types | 2. Vérifier","Code HTTP 200 | 3 types",À tester,Liste types
CATALOG,TC_CATALOG_034,Types catalogue,Créer nouveau type,Positif,Moyenne,Aucune,Type=""Smartwatches""","1. POST type | 2. Vérifier","Code HTTP 201 | Type créé",À tester,Création type
CATALOG,TC_CATALOG_035,Types catalogue,Créer type nom vide,Négatif,Moyenne,Aucune,Type vide,"1. POST vide | 2. Erreur","Code HTTP 400 | Nom requis",À tester,Validation type
CATALOG,TC_CATALOG_036,Types catalogue,Type déjà existant (doublon),Négatif,Moyenne,Type existe,Type existant,"1. POST doublon | 2. Erreur","Code HTTP 400/409 | Existe déjà",À tester,Unicité type
CATALOG,TC_CATALOG_037,Marques,Récupérer toutes marques,Positif,Haute,4 marques existent,Aucune,"1. GET marques | 2. Vérifier","Code HTTP 200 | 4 marques",À tester,Liste marques
CATALOG,TC_CATALOG_038,Marques,Créer nouvelle marque,Positif,Moyenne,Aucune,Brand=""Huawei""","1. POST marque | 2. Vérifier","Code HTTP 201 | Marque créée",À tester,Création marque
CATALOG,TC_CATALOG_039,Marques,Créer marque nom vide,Négatif,Moyenne,Aucune,Brand vide,"1. POST vide | 2. Erreur","Code HTTP 400 | Nom requis",À tester,Validation marque
CATALOG,TC_CATALOG_040,Marques,Marque déjà existante,Négatif,Moyenne,Marque existe,Brand existante,"1. POST doublon | 2. Erreur","Code HTTP 400/409 | Existe déjà",À tester,Unicité marque
CATALOG,TC_CATALOG_041,Images,Upload image produit,Positif,Moyenne,Un produit existe,image.jpg < 5MB,"1. POST image | 2. Vérifier","Code HTTP 200 | PictureUri accessible",À tester,Upload image
CATALOG,TC_CATALOG_042,Images,Format invalide,Négatif,Moyenne,Un produit existe,document.pdf,"1. POST PDF | 2. Erreur","Code HTTP 400 | Format non supporté",À tester,Validation format
CATALOG,TC_CATALOG_043,Images,Image trop volumineuse,Négatif,Basse,Un produit existe,image.jpg > 5MB,"1. POST > 5MB | 2. Erreur","Code HTTP 400 | Taille max dépassée",À tester,Validation taille
CATALOG,TC_CATALOG_044,Performance,Récupérer 1000 produits,Performance,Basse,1000 produits | PageSize=100,10 pages,"1. 10 requêtes | 2. Mesurer","Chaque < 500ms | 1000 produits",À tester,Charge lecture
CATALOG,TC_CATALOG_045,Performance,Créer 100 produits,Performance,Basse,Aucune,100 produits,"1. Créer 100 | 2. Mesurer","Total < 30s | 100 créés",À tester,Charge création
CATALOG,TC_CATALOG_046,Intégration,Changement prix → RabbitMQ,Intégration,Haute,Produit dans paniers,Prix 99.99 → 149.99,"1. Changer prix | 2. Événement | 3. Vérifier paniers","Événement publié | Paniers MAJ < 3s",À tester,Event-Driven
CATALOG,TC_CATALOG_047,Intégration,Suppression → Notification services,Intégration,Haute,Produit dans paniers/commandes,ProductId valide,"1. DELETE | 2. Événement | 3. Impact","Événement publié | Basket/Order notifiés",À tester,Propagation
CATALOG,TC_CATALOG_048,Concurrence,Modifications simultanées,Concurrence,Moyenne,Un produit existe,User1 et User2 MAJ prix,"1. 2 PUT parallèles | 2. Vérifier","1 gagne OU dernier gagne | Cohérence",À tester,Concurrence
CATALOG,TC_CATALOG_049,Concurrence,Retraits stock simultanés,Concurrence,Haute,Stock=10 | 3 commandes x5,"3 retraits -5 simultanés","1. 3 POST parallèles | 2. Vérifier","2 réussissent | 1 échoue | Stock=0",À tester,Race condition
CATALOG,TC_CATALOG_050,Validation ID,GUID invalide,Négatif,Basse,Aucune,Id=""invalid""","1. GET/PUT/DELETE invalide | 2. Erreur","Code HTTP 400 | Format invalide",À tester,Validation GUID
ORDERING,TC_ORDER_001,Création,Créer commande complète,Positif,Haute,Client existe,Toutes données valides,"1. POST commande | 2. Vérifier","Code HTTP 201 | Status=Initial | OrderId généré",À tester,Création basique
ORDERING,TC_ORDER_002,Création,Sans CustomerId,Négatif,Haute,Aucune,CustomerId = null,"1. POST sans CustomerId | 2. Erreur","Code HTTP 400 | CustomerId requis",À tester,Validation CustomerId
ORDERING,TC_ORDER_003,Création,Sans adresse livraison,Négatif,Haute,Aucune,ShippingAddress = null,"1. POST sans adresse | 2. Erreur","Code HTTP 400 | Adresse requise",À tester,Validation adresse
ORDERING,TC_ORDER_004,Création,Sans adresse facturation,Négatif,Haute,Aucune,BillingAddress = null,"1. POST sans adresse | 2. Erreur","Code HTTP 400 | Adresse requise",À tester,Validation adresse
ORDERING,TC_ORDER_005,Création,Email invalide,Négatif,Haute,Aucune,Email=""invalid""","1. POST email invalide | 2. Erreur","Code HTTP 400 | Format email invalide",À tester,Validation email
ORDERING,TC_ORDER_006,Création,Sans email,Négatif,Moyenne,Aucune,Email = null,"1. POST sans email | 2. Erreur","Code HTTP 400 | Email requis",À tester,Validation email
ORDERING,TC_ORDER_007,Création,Sans téléphone,Négatif,Moyenne,Aucune,Phone = null,"1. POST sans téléphone | 2. Résultat","Code HTTP 400 OU accepté",À tester,Validation téléphone
ORDERING,TC_ORDER_008,Création,Sans méthode paiement,Négatif,Haute,Aucune,PaymentMethod = null,"1. POST sans paiement | 2. Erreur","Code HTTP 400 | Paiement requis",À tester,Validation paiement
ORDERING,TC_ORDER_009,Ajout item,Ajouter item (status Initial),Positif,Haute,Commande Initial,Item valide (iPhone x2),"1. POST item | 2. Vérifier","Code HTTP 200 | Item ajouté | Total calculé",À tester,Ajout item
ORDERING,TC_ORDER_010,Ajout item,Quantité = 0,Négatif,Moyenne,Une commande existe,Quantity = 0,"1. POST Qty=0 | 2. Erreur","Code HTTP 400 | Qty > 0 requis",À tester,Validation quantité
ORDERING,TC_ORDER_011,Ajout item,Quantité négative,Négatif,Moyenne,Une commande existe,Quantity = -5,"1. POST négatif | 2. Erreur","Code HTTP 400 | Erreur validation",À tester,Quantité invalide
ORDERING,TC_ORDER_012,Ajout item,Prix négatif,Négatif,Moyenne,Une commande existe,UnitPrice = -99.99,"1. POST prix négatif | 2. Erreur","Code HTTP 400 | Erreur validation",À tester,Prix invalide
ORDERING,TC_ORDER_013,Ajout item,Sans nom produit,Négatif,Basse,Une commande existe,ProductName = null,"1. POST sans nom | 2. Erreur","Code HTTP 400 | Nom requis",À tester,Validation nom
ORDERING,TC_ORDER_014,Ajout item,Commande déjà livrée,Négatif,Haute,Status = Delivered,Item valide,"1. POST sur commande livrée | 2. Erreur","Code HTTP 400 | Immutable",À tester,Immutabilité
ORDERING,TC_ORDER_015,Ajout item,Commande annulée,Négatif,Haute,Status = Cancelled,Item valide,"1. POST sur annulée | 2. Erreur","Code HTTP 400 | Immutable",À tester,Immutabilité
ORDERING,TC_ORDER_016,Ajout item,Plusieurs items,Positif,Haute,Une commande,3 items différents,"1. Ajouter 3 items | 2. Vérifier total","Items.Count=3 | Total=5649.94",À tester,Multi-items
ORDERING,TC_ORDER_017,Ajout item,Avec remise 10%,Positif,Moyenne,Une commande,Prix=100 Qty=2 Discount=10,"1. Ajouter avec remise | 2. Vérifier calcul","Total item=180 | Calcul correct",À tester,Calcul remise
ORDERING,TC_ORDER_018,Ajout item,Remise > 100%,Négatif,Basse,Une commande,Discount = 150,"1. POST remise > 100% | 2. Erreur","Code HTTP 400 | Remise max 100%",À tester,Validation remise
ORDERING,TC_ORDER_019,Suppression item,Supprimer item (Initial),Positif,Haute,Commande avec 2 items,CatalogItemId valide,"1. DELETE item | 2. Vérifier","Code HTTP 204 | Item supprimé | Total recalculé",À tester,Suppression
ORDERING,TC_ORDER_020,Suppression item,Item inexistant,Négatif,Moyenne,Une commande,CatalogItemId inexistant,"1. DELETE inexistant | 2. Erreur","Code HTTP 404 | Non trouvé",À tester,Item inexistant
ORDERING,TC_ORDER_021,Suppression item,Commande livrée,Négatif,Haute,Status = Delivered,Item valide,"1. DELETE sur livrée | 2. Erreur","Code HTTP 400 | Immutable",À tester,Immutabilité
ORDERING,TC_ORDER_022,Mise à jour Qty,Mettre à jour quantité,Positif,Haute,Item avec Qty=2,NewQuantity = 5,"1. PUT nouvelle Qty | 2. Vérifier","Qty=5 | Total recalculé",À tester,Update quantité
ORDERING,TC_ORDER_023,Mise à jour Qty,Quantité = 0,Négatif,Moyenne,Item existant,NewQuantity = 0,"1. PUT Qty=0 | 2. Erreur","Code HTTP 400 | Qty > 0",À tester,Validation
ORDERING,TC_ORDER_024,Mise à jour Qty,Commande expédiée,Négatif,Haute,Status = Shipped,NewQuantity = 10,"1. PUT sur Shipped | 2. Erreur","Code HTTP 400 | Immutable",À tester,Immutabilité
ORDERING,TC_ORDER_025,Soumission,Soumettre commande (Initial→Pending),Positif,Haute,Commande Initial avec items,Aucune,"1. POST submit | 2. Vérifier statut","Status=Pending | Événement levé",À tester,Soumission
ORDERING,TC_ORDER_026,Soumission,Soumettre commande vide,Négatif,Haute,Commande sans items,Aucune,"1. POST submit vide | 2. Erreur","Code HTTP 400 | Commande vide",À tester,Validation non vide
ORDERING,TC_ORDER_027,Soumission,Soumettre déjà soumise,Négatif,Moyenne,Status = Pending,Aucune,"1. POST submit 2x | 2. Résultat","Code HTTP 400 OU idempotent",À tester,Idempotence
ORDERING,TC_ORDER_028,Expédition,Expédier (Processing→Shipped),Positif,Haute,Status = Processing,Aucune,"1. POST ship | 2. Vérifier","Status=Shipped | Événement publié",À tester,Expédition
ORDERING,TC_ORDER_029,Expédition,Expédier commande Initial,Négatif,Haute,Status = Initial,Aucune,"1. POST ship sur Initial | 2. Erreur","Code HTTP 400 | Statut invalide",À tester,Validation workflow
ORDERING,TC_ORDER_030,Expédition,Expédier déjà expédiée,Négatif,Moyenne,Status = Shipped,Aucune,"1. POST ship 2x | 2. Résultat","Code HTTP 400 OU idempotent",À tester,Idempotence
ORDERING,TC_ORDER_031,Livraison,Livrer (Shipped→Delivered),Positif,Haute,Status = Shipped,Aucune,"1. POST deliver | 2. Vérifier","Status=Delivered | DeliveryDate définie",À tester,Livraison
ORDERING,TC_ORDER_032,Livraison,Livrer non expédiée,Négatif,Haute,Status = Pending,Aucune,"1. POST deliver sur Pending | 2. Erreur","Code HTTP 400 | Doit être expédiée",À tester,Validation workflow
ORDERING,TC_ORDER_033,Livraison,Livrer déjà livrée,Négatif,Moyenne,Status = Delivered,Aucune,"1. POST deliver 2x | 2. Résultat","Code HTTP 400 OU idempotent",À tester,Idempotence
ORDERING,TC_ORDER_034,Annulation,Annuler (Pending→Cancelled),Positif,Haute,Status = Pending,Aucune,"1. POST cancel | 2. Vérifier","Status=Cancelled | Événement levé",À tester,Annulation
ORDERING,TC_ORDER_035,Annulation,Annuler (Initial→Cancelled),Positif,Haute,Status = Initial,Aucune,"1. POST cancel | 2. Vérifier","Status=Cancelled",À tester,Annulation avant soumission
ORDERING,TC_ORDER_036,Annulation,Annuler commande expédiée,Négatif,Haute,Status = Shipped,Aucune,"1. POST cancel sur Shipped | 2. Erreur","Code HTTP 400 | Impossible",À tester,Validation annulation
ORDERING,TC_ORDER_037,Annulation,Annuler commande livrée,Négatif,Haute,Status = Delivered,Aucune,"1. POST cancel sur Delivered | 2. Erreur","Code HTTP 400 | Impossible",À tester,Impossibilité annulation
ORDERING,TC_ORDER_038,Annulation,Annuler déjà annulée,Négatif,Basse,Status = Cancelled,Aucune,"1. POST cancel 2x | 2. Résultat","Code HTTP 400 OU idempotent",À tester,Idempotence
ORDERING,TC_ORDER_039,Récupération,Récupérer par ID,Positif,Haute,Une commande existe,OrderId valide,"1. GET commande | 2. Vérifier","Code HTTP 200 | Toutes propriétés + items",À tester,Lecture commande
ORDERING,TC_ORDER_040,Récupération,Commande inexistante,Négatif,Moyenne,Commande inexistante,OrderId inexistant,"1. GET inexistant | 2. Erreur","Code HTTP 404 | Non trouvée",À tester,Commande inexistante
ORDERING,TC_ORDER_041,Liste,Toutes les commandes,Positif,Haute,5 commandes existent,Aucune,"1. GET toutes | 2. Vérifier","Code HTTP 200 | 5 commandes",À tester,Liste complète
ORDERING,TC_ORDER_042,Liste,Avec pagination,Positif,Moyenne,50 commandes | PageSize=10,Page=1 Size=10,"1. GET paginé | 2. Vérifier","10 commandes | Métadonnées",À tester,Pagination
ORDERING,TC_ORDER_043,Filtrage,Par client,Positif,Haute,Client A = 3 commandes,CustomerId A,"1. GET par client | 2. Vérifier","3 commandes | Bon CustomerId",À tester,Filtrage client
ORDERING,TC_ORDER_044,Filtrage,Client sans commandes,Positif,Basse,Client sans commandes,CustomerId vide,"1. GET | 2. Résultat","Liste vide []",À tester,Client sans historique
ORDERING,TC_ORDER_045,Filtrage,Par statut Pending,Positif,Haute,3 Pending | 2 Shipped,Status=Pending,"1. GET par statut | 2. Vérifier","3 commandes | Status=Pending",À tester,Filtrage statut
ORDERING,TC_ORDER_046,Filtrage,Statut inexistant,Négatif,Basse,Aucune,Status invalide,"1. GET statut invalide | 2. Résultat","Code HTTP 400 OU liste vide",À tester,Validation statut
ORDERING,TC_ORDER_047,Filtrage,Client + Statut,Positif,Moyenne,Client A : 2 Pending | 1 Shipped,CustomerId + Status,"1. GET multi-filtres | 2. Vérifier","2 commandes | Critères respectés",À tester,Multi-critères
ORDERING,TC_ORDER_048,Calcul total,Total sans remise,Positif,Haute,Une commande,"3 items : 200€+150€+75€","1. Ajouter items | 2. Vérifier total","TotalAmount = 425€",À tester,Calcul simple
ORDERING,TC_ORDER_049,Calcul total,Total avec remises multiples,Positif,Haute,Une commande,"Item1 : 100x2 -10% = 180 | Item2 : 200x1 -20% = 160","1. Ajouter items | 2. Vérifier","Total = 340€",À tester,Remises multiples
ORDERING,TC_ORDER_050,Calcul total,Remise 100%,Positif,Basse,Une commande,Item 100€ remise 100%,"1. Ajouter | 2. Vérifier","Total = 0€",À tester,Cas limite
